fname,colid,fsid,from_alpha,to_alpha
29412826_0_3422707769191426540.csv,0,4,0.00100,0.64800
29412826_0_3422707769191426540.csv,0,5,0.00100,0.77800
19272019_0_1508498249156534553.csv,0,1,-1.00000,-1.00000
19272019_0_1508498249156534553.csv,0,2,-1.00000,-1.00000
19272019_0_1508498249156534553.csv,0,3,0.00300,0.11600
19272019_0_1508498249156534553.csv,0,4,0.04900,0.47800
19272019_0_1508498249156534553.csv,0,5,0.09200,0.61700
37815699_0_8391788584341609964.csv,1,1,0.02500,0.60400
37815699_0_8391788584341609964.csv,1,2,0.04700,0.74700
37815699_0_8391788584341609964.csv,1,3,0.20400,0.85500
37815699_0_8391788584341609964.csv,1,4,0.35700,0.83700
37815699_0_8391788584341609964.csv,1,5,0.46300,0.74300
41480166_0_6681239260286218499.csv,0,1,-1.00000,-1.00000
41480166_0_6681239260286218499.csv,0,2,-1.00000,-1.00000
41480166_0_6681239260286218499.csv,0,3,-1.00000,-1.00000
41480166_0_6681239260286218499.csv,0,4,-1.00000,-1.00000
41480166_0_6681239260286218499.csv,0,5,-1.00000,-1.00000
6869358_0_1379459120563510331.csv,1,1,0.00100,0.00500
6869358_0_1379459120563510331.csv,1,2,0.00100,0.01000
6869358_0_1379459120563510331.csv,1,3,0.00800,0.17300
6869358_0_1379459120563510331.csv,1,4,0.13400,0.40900
6869358_0_1379459120563510331.csv,1,5,0.23100,0.54100
55238374_0_3379409961751009152.csv,0,1,0.00100,0.08300
55238374_0_3379409961751009152.csv,0,2,0.00100,0.15300
55238374_0_3379409961751009152.csv,0,3,0.00200,0.70000
55238374_0_3379409961751009152.csv,0,4,0.05700,0.69600
55238374_0_3379409961751009152.csv,0,5,0.10600,0.69100
61121469_0_6337620713408906340.csv,0,1,0.00100,0.04600
61121469_0_6337620713408906340.csv,0,2,0.00100,0.08800
61121469_0_6337620713408906340.csv,0,3,0.00200,0.58700
61121469_0_6337620713408906340.csv,0,4,0.07300,0.67400
61121469_0_6337620713408906340.csv,0,5,0.13400,0.66900
41194422_0_7231546114369966811.csv,1,1,0.00100,0.09300
41194422_0_7231546114369966811.csv,1,2,0.00100,0.17000
41194422_0_7231546114369966811.csv,1,3,0.00200,0.71500
41194422_0_7231546114369966811.csv,1,4,0.06400,0.71000
41194422_0_7231546114369966811.csv,1,5,0.11800,0.70600
10630177_0_4831842476649004753.csv,2,1,0.00100,0.47600
10630177_0_4831842476649004753.csv,2,2,0.00100,0.64300
10630177_0_4831842476649004753.csv,2,3,0.01300,0.91900
10630177_0_4831842476649004753.csv,2,4,0.13100,0.92500
10630177_0_4831842476649004753.csv,2,5,0.22400,0.92000
67865873_0_8259587610208037357.csv,1,1,0.00100,0.06700
67865873_0_8259587610208037357.csv,1,2,0.00100,0.12700
67865873_0_8259587610208037357.csv,1,3,0.00200,0.68000
67865873_0_8259587610208037357.csv,1,4,0.06600,0.69400
67865873_0_8259587610208037357.csv,1,5,0.12200,0.69000
51741865_0_9203644246202164492.csv,1,1,-1.00000,-1.00000
51741865_0_9203644246202164492.csv,1,2,-1.00000,-1.00000
51741865_0_9203644246202164492.csv,1,3,-1.00000,-1.00000
51741865_0_9203644246202164492.csv,1,4,-1.00000,-1.00000
51741865_0_9203644246202164492.csv,1,5,-1.00000,-1.00000
20135078_0_7570343137119682530.csv,1,1,0.00100,0.00500
20135078_0_7570343137119682530.csv,1,2,0.00100,0.01100
20135078_0_7570343137119682530.csv,1,3,0.04400,0.15900
20135078_0_7570343137119682530.csv,1,4,0.35200,0.36200
20135078_0_7570343137119682530.csv,1,5,-1.00000,-1.00000
50245608_0_871275842592178099.csv,0,1,0.00100,0.00800
50245608_0_871275842592178099.csv,0,2,0.00100,0.01700
50245608_0_871275842592178099.csv,0,3,0.03200,0.19500
50245608_0_871275842592178099.csv,0,4,0.28700,0.42000
50245608_0_871275842592178099.csv,0,5,0.43600,0.54600
21337553_0_8832378999628437599.csv,1,1,-1.00000,-1.00000
21337553_0_8832378999628437599.csv,1,2,0.00100,0.00100
21337553_0_8832378999628437599.csv,1,3,0.00300,0.13600
21337553_0_8832378999628437599.csv,1,4,0.05500,0.54100
21337553_0_8832378999628437599.csv,1,5,0.10100,0.68800
1614988_0_8789868670151796042.csv,0,1,0.00100,0.04700
1614988_0_8789868670151796042.csv,0,2,0.00100,0.08900
1614988_0_8789868670151796042.csv,0,3,0.00300,0.33800
1614988_0_8789868670151796042.csv,0,4,0.04900,0.51700
1614988_0_8789868670151796042.csv,0,5,0.09100,0.62000
43469354_0_6029017163991310319.csv,1,1,0.00100,0.00700
43469354_0_6029017163991310319.csv,1,2,0.00100,0.01400
